member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
5717,225,2021-02-09,2021-02-18,10,control,0,0.86031544,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,5717|225|2021-02-09,0.023850531886346227,-1.373457458898767
7281,225,2021-02-09,2021-02-18,10,control,0,0.99898213,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,7281|225|2021-02-09,0.1625172218863462,-1.373457458898767
12928,225,2021-02-09,2021-02-18,10,control,0,0.8517119,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,12928|225|2021-02-09,0.01524699188634615,-1.373457458898767
19767,225,2021-02-09,2021-02-18,10,control,0,0.48095965,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,19767|225|2021-02-09,-0.3555052581136538,-1.373457458898767
20829,225,2021-02-09,2021-02-18,10,control,0,0.84562606,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.3,20829|225|2021-02-09,0.009161151886346142,-1.373457458898767
22417,225,2021-02-09,2021-02-18,10,control,0,0.99820554,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.2,22417|225|2021-02-09,0.16174063188634613,-1.373457458898767
27305,225,2021-02-09,2021-02-18,10,control,0,0.934971,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.2,27305|225|2021-02-09,0.09850609188634618,-1.373457458898767
28784,225,2021-02-09,2021-02-18,10,control,0,0.96120983,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.6,28784|225|2021-02-09,0.12474492188634623,-1.373457458898767
29011,225,2021-02-09,2021-02-18,10,control,0,0.89105934,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,29011|225|2021-02-09,0.05459443188634616,-1.373457458898767
29025,225,2021-02-09,2021-02-18,10,control,0,0.93348074,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.2,29025|225|2021-02-09,0.09701583188634622,-1.373457458898767
39228,225,2021-02-09,2021-02-18,10,control,0,0.93770295,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.3,39228|225|2021-02-09,0.10123804188634622,-1.373457458898767
40566,225,2021-02-09,2021-02-18,10,control,0,0.9946063,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.5,40566|225|2021-02-09,0.15814139188634624,-1.373457458898767
44385,225,2021-02-09,2021-02-18,10,control,0,0.81834763,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,44385|225|2021-02-09,-0.018117278113653823,-1.373457458898767
44793,225,2021-02-09,2021-02-18,10,control,0,0.8609171,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,44793|225|2021-02-09,0.024452191886346175,-1.373457458898767
46191,225,2021-02-09,2021-02-18,10,control,0,0.85950613,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.2,46191|225|2021-02-09,0.023041221886346164,-1.373457458898767
