term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,sample,model
treated_store_X_post,-0.012891242597225745,0.034052015822209875,0.7096896885699426,-0.08473471603554608,0.058952230841094584,736,18,92,0.000969779844380958,core_coverage,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.020549206738276846,0.03648206819883562,0.5806060956837867,-0.05642122905919904,0.09751964253575272,736,18,92,0.015082730571556069,core_coverage,available_unbalanced,immediate_post
treated_store_X_post,-0.012891242597225745,0.034052015822209875,0.7096896885699426,-0.08473471603554608,0.058952230841094584,736,18,92,0.000969779844380958,core_coverage,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.020549206738276846,0.03648206819883562,0.5806060956837867,-0.05642122905919904,0.09751964253575272,736,18,92,0.015082730571556069,core_coverage,complete_8_period_pairs,immediate_post
treated_store_X_post,0.30632159100428197,0.5177747059741414,0.5618961592450745,-0.7860875494679564,1.3987307314765205,723,18,92,0.0019242131481620461,rarefied_products_50,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.19352539472408054,0.8753195718185428,0.8276551948596915,-1.6532374734809507,2.0402882629291117,723,18,92,0.014198860094372323,rarefied_products_50,available_unbalanced,immediate_post
treated_store_X_post,0.546982394366197,0.49322638676544217,0.2828778333533093,-0.49363431982990613,1.5875991085623,696,18,87,0.006440196620605576,rarefied_products_50,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.36719718309859145,0.9768626412354536,0.7116449805398096,-1.6938028347832343,2.428197200980417,696,18,87,0.01263605005941093,rarefied_products_50,complete_8_period_pairs,immediate_post
treated_store_X_post,0.014620057557062919,0.025006721453498252,0.5664654448559117,-0.03813951291606289,0.06737962803018872,736,18,92,0.0019432904538949636,menu_jaccard_pre,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.04949538548477032,0.029327846749002746,0.1097366078407928,-0.012380962450579881,0.11137173342012052,736,18,92,0.011857717475501794,menu_jaccard_pre,available_unbalanced,immediate_post
treated_store_X_post,0.014620057557062919,0.025006721453498252,0.5664654448559117,-0.03813951291606289,0.06737962803018872,736,18,92,0.0019432904538949636,menu_jaccard_pre,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.04949538548477032,0.029327846749002746,0.1097366078407928,-0.012380962450579881,0.11137173342012052,736,18,92,0.011857717475501794,menu_jaccard_pre,complete_8_period_pairs,immediate_post
